ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,605,50
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,608,76
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,610,13
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,614,50
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,616,91
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,617,75
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,618,7
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,637,11
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,638,44
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,640,90
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,644,66
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,650,77
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,657,1
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,659,38
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,663,54
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,667,88
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,668,4
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,674,4
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,678,14
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,693,86
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,694,51
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,696,40
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,701,98
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,702,83
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,703,49
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,705,81
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,708,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,710,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,711,64
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,715,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,731,68
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,737,11
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,742,37
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,743,83
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,752,93
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,754,90
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,761,55
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,767,3
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,770,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,771,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,775,79
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,779,78
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,782,57
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,785,71
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,786,49
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,788,91
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,789,81
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,791,83
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,793,18
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,794,19
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,796,30
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,798,51
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,801,78
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,809,98
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,812,52
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,813,81
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,815,61
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,816,9
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,817,85
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,842,63
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,850,14
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,851,50
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,856,13
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,857,22
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,861,0
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,863,18
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,865,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,868,44
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,876,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,879,66
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,881,7
